DeCodigo,DeNombre,Decade,Year,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
68,Santander,1960,1962,12,12,13397803.592,16626164,3228360.408,181082049,15090170.75,15185015.136,978613.861977186,13397803.592,13397803.592,14286484.216,15761148.584,1474664.368
52,Nariño,1960,1962,12,12,11710400.9291339,14034910.6220472,2324509.6929133,146840489.984252,12236707.4986877,12040931.2874016,654494.679970771,11710400.9291339,11710400.9291339,11740488.8937008,12574459.8267717,833970.933070898
76,Valle del Cauca,1960,1963,12,12,10194510.5614035,12862572.0818713,2668061.5204678,139289056.216374,11607421.3513645,11622208.4678362,849594.172870418,10194510.5614035,10194510.5614035,10838901.3362573,12482006.25731,1643104.9210526
81,Arauca,1960,1963,12,12,10348575.3432836,17062992.3283582,6714416.9850746,177262721.40796,14771893.4506634,15509410.4079602,2034583.69003337,10348575.3432836,10348575.3432836,13443728.5621891,16270241.1567165,2826512.5945274
86,Putumayo,1960,1963,12,12,10758958.3461538,18834477.1153846,8075518.7692308,179849688.721154,14987474.0600962,14838584.3653846,2156684.82036684,10758958.3461538,10758958.3461538,13774076.6394231,16646062.2019231,2871985.5625
91,Amazonas,1960,1963,12,12,11429114.8921348,18175867.8247191,6746752.9325843,181366958.155056,15113913.179588,14978074.7382022,1953101.79468987,11429114.8921348,11429114.8921348,13693180.7955056,16814387.0550562,3121206.25955055
94,Guainía,1960,1963,12,12,11146354.3201377,17627064.767642,6480710.4475043,175207531.738382,14600627.6448652,15042512.3717728,1883293.03908817,11146354.3201377,11146354.3201377,13245083.6024096,15775775.51463,2530691.91222035
97,Vaupés,1960,1963,12,12,11482518.8321839,18326816.1931034,6844297.3609195,180955486.073563,15079623.8394636,15507516.5402299,1922829.22875158,11482518.8321839,11482518.8321839,13716044.5126437,16354156.2666666,2638111.75402295
8,Atlántico,1960,1963,12,12,13891644.5,19076370.9285714,5184726.4285714,196704746.857143,16392062.2380952,16426624.2857143,1400161.27793633,13891644.5,13891644.5,15508801.9642857,17140154.6071429,1631352.64285715
52,Nariño,1960,1963,12,12,10842337.7007874,14046204.2519685,3203866.5511811,151751884.811024,12645990.4009186,12702658.6338583,902555.632893873,10842337.7007874,10842337.7007874,11966057.4251969,13351532.468504,1385475.0433071
13,Bolívar,1960,1963,12,12,12905777.6359447,16724710.2488479,3818932.6129032,175066557.479263,14588879.7899385,14296313.562212,1056528.02543558,12905777.6359447,12905777.6359447,13916361.6313364,15342093.9447004,1425732.31336405
20,Cesar,1960,1963,12,12,13319002.7362637,17074412.2857143,3755409.5494506,181478748.791209,15123229.0659341,15161436.6923077,1206807.67884276,13319002.7362637,13319002.7362637,14089514.5989011,16131053.9395605,2041539.34065935
54,Norte de Santander,1960,1963,12,12,12427918.8764045,16208177.258427,3780258.3820225,175958465.47191,14663205.4559925,14850290.5898876,1181138.83605891,12427918.8764045,12427918.8764045,13952515.6011236,15616197.1179776,1663681.51685395
68,Santander,1960,1963,12,12,13532831.112,16106937.76,2574106.648,177924962.608,14827080.2173333,14923937.144,906783.465343787,13532831.112,13532831.112,13937845.296,15694396.144,1756550.848
70,Sucre,1960,1963,12,12,12933310.4942529,16950008,4016697.5057471,175283955.137931,14606996.2614943,14426748.8045977,1118454.0224037,12933310.4942529,12933310.4942529,13686561,15386952.2758621,1700391.2758621
99,Vichada,1960,1963,12,12,10979608.9681373,18076952.3676471,7097343.3995098,180181610.871324,15015134.239277,15963102.8088235,2213223.1345522,10979608.9681373,10979608.9681373,13110872.5563725,16476210.8805147,3365338.32414215
